repo-url,slug,step-status
https://gitlab.pro.ai/sina/greece-regions-symbols.git,template-map-greece-regions-symbols,
https://gitlab.pro.ai/sina/hawaii-counties-bubbles.git,template-map-hawaii-counties-bubbles,
https://gitlab.pro.ai/sina/hawaii.git,template-map-hawaii-counties-choropleth,
https://gitlab.pro.ai/sina/hawaii-counties-symbols.git,template-map-hawaii-counties-symbols,
https://gitlab.pro.ai/sina/hungary-regions-circles.git,template-map-hungary-regions-bubbles,
https://gitlab.pro.ai/sina/hungary-regions.git,template-map-hungary-regions-choropleth,
https://gitlab.pro.ai/sina/hungary-regions-symbols.git,template-map-hungary-regions-symbols,
https://gitlab.pro.ai/sina/idaho-counties-bubbles.git,template-map-idaho-counties-bubbles,
https://gitlab.pro.ai/sina/idaho.git,template-map-idaho-counties-choropleth,
https://gitlab.pro.ai/sina/idaho-counties-symbols.git,template-map-idaho-counties-symbols,
https://gitlab.pro.ai/sina/illinois-counties-bubbles.git,template-map-illinois-counties-bubbles,
https://gitlab.pro.ai/sina/illinois.git,template-map-illinois-counties-choropleth,
https://gitlab.pro.ai/sina/illinois-counties-symbols.git,template-map-illinois-counties-symbols,
https://gitlab.pro.ai/sina/india-states-bubbles.git,template-map-india-states-bubbles,
https://gitlab.pro.ai/sina/india-states.git,template-map-india-states-choropleth,
https://gitlab.pro.ai/sina/india-states-master.git,template-map-india-states-master-choropleth,
https://gitlab.pro.ai/sina/india-states-symbols.git,template-map-india-states-symbols,
https://gitlab.pro.ai/sina/indiana-counties-bubbles.git,template-map-indiana-counties-bubbles,
https://gitlab.pro.ai/sina/indiana.git,template-map-indiana-counties-choropleth,
https://gitlab.pro.ai/sina/indiana-counties-symbols.git,template-map-indiana-counties-symbols,
https://gitlab.pro.ai/sina/indonesia-provinces-bubbles.git,template-map-indonesia-provinces-bubbles,
https://gitlab.pro.ai/sina/indonesia-provinces.git,template-map-indonesia-provinces-choropleth,
https://gitlab.pro.ai/sina/indonesia-provinces-symbols.git,template-map-indonesia-provinces-symbols,
